"","h_squared","i"
"1",0.009,117970
"2",0.0131,100512.023438
"3",0.0172,80882.992188
"4",0.0213,62948.515625
"5",0.0254,57507.757813
"6",0.0295,61357.429688
"7",0.0335,72234.0625
"8",0.0376,89858.945313
"9",0.0417,109460.929688
"10",0.0458,126917.039063
"11",0.0499,137405.0625
"12",0.054,139655.375
"13",0.0581,137483.21875
"14",0.0622,133394.875
"15",0.0663,129394.328125
"16",0.0704,125762.617188
"17",0.0745,121035.289063
"18",0.0786,116051.804688
"19",0.0826,110836.078125
"20",0.0867,104613.296875
"21",0.0908,97322.054688
"22",0.0949,89836.304688
"23",0.099,83216.1875
"24",0.1031,78146.273438
"25",0.1072,73459.671875
"26",0.1113,69471.023438
"27",0.1154,65299.644531
"28",0.1195,61581.441406
"29",0.1236,58510.613281
"30",0.1277,55865.179688
"31",0.1318,53658.789063
"32",0.1358,52101.019531
"33",0.1399,51070.417969
"34",0.144,50092.042969
"35",0.1481,49350.722656
"36",0.1522,48151.910156
"37",0.1563,47058.90625
"38",0.1604,46675.40625
"39",0.1645,46597.675781
"40",0.1686,45924.046875
"41",0.1727,46080.671875
"42",0.1768,45937.621094
"43",0.1809,46096.023438
"44",0.1849,45896.964844
"45",0.189,45990.09375
"46",0.1931,46123.292969
"47",0.1972,46343.515625
"48",0.2013,45936.539063
"49",0.2054,45715.695313
"50",0.2095,45109.164063
"51",0.2136,44549.132813
"52",0.2177,43634.820313
"53",0.2218,43566.085938
"54",0.2259,43451.015625
"55",0.23,42696.292969
"56",0.2341,41173.980469
"57",0.2381,39972.753906
"58",0.2422,39166.628906
"59",0.2463,38020.367188
"60",0.2504,36810.992188
"61",0.2545,35497.308594
"62",0.2586,34194.90625
"63",0.2627,32992.742188
"64",0.2668,31585.996094
"65",0.2709,30211.492188
"66",0.275,29119.816406
"67",0.2791,28151.564453
"68",0.2832,27386.414063
"69",0.2873,26232.775391
"70",0.2913,25235.693359
"71",0.2954,24318.244141
"72",0.2995,23707.949219
"73",0.3036,22821.910156
"74",0.3077,22182.095703
"75",0.3118,21694.740234
"76",0.3159,21236.888672
"77",0.32,20733.123047
"78",0.3241,20323.289063
"79",0.3282,20073.404297
"80",0.3323,19932.15625
"81",0.3364,19631.480469
"82",0.3404,19223.189453
"83",0.3445,18920.273438
"84",0.3486,18557.662109
"85",0.3527,18134.789063
"86",0.3568,17926.917969
"87",0.3609,17909.144531
"88",0.365,17908.371094
"89",0.3691,17781.652344
"90",0.3732,17634.251953
"91",0.3773,17607.757813
"92",0.3814,17273.970703
"93",0.3855,17132.121094
"94",0.3896,16953.238281
"95",0.3936,16883.560547
"96",0.3977,16615.091797
"97",0.4018,16435.376953
"98",0.4059,16423.140625
"99",0.41,16351.833008
"100",0.4141,16278.805664
"101",0.4182,15998.300781
"102",0.4223,15795.753906
"103",0.4264,15589.185547
"104",0.4305,15561.383789
"105",0.4346,15467.072266
"106",0.4387,15476.588867
"107",0.4428,15331.998047
"108",0.4468,15028.963867
"109",0.4509,14745.987305
"110",0.455,14509.141602
"111",0.4591,14445.925781
"112",0.4632,14254.642578
"113",0.4673,14111.920898
"114",0.4714,13900.478516
"115",0.4755,13785.526367
"116",0.4796,13686.092773
"117",0.4837,13464.845703
"118",0.4878,13304.157227
"119",0.4919,13084.092773
"120",0.4959,13114.880859
"121",0.5,13089.595703
"122",0.5041,13244.094727
"123",0.5082,13117.398438
"124",0.5123,13140.625977
"125",0.5164,13031.726563
"126",0.5205,12999.481445
"127",0.5246,12835.458008
"128",0.5287,12954.44043
"129",0.5328,12937.74707
"130",0.5369,12936.303711
"131",0.541,12825.827148
"132",0.5451,12995.077148
"133",0.5491,12994.03125
"134",0.5532,13036.256836
"135",0.5573,13006.765625
"136",0.5614,13057.585938
"137",0.5655,13010.015625
"138",0.5696,12891.707031
"139",0.5737,12966.081055
"140",0.5778,13114.422852
"141",0.5819,13119.473633
"142",0.586,13065.753906
"143",0.5901,13052.74707
"144",0.5942,13214.619141
"145",0.5982,13376.884766
"146",0.6023,13386.037109
"147",0.6064,13244.183594
"148",0.6105,13225.625
"149",0.6146,13203.177734
"150",0.6187,13157.918945
"151",0.6228,13058.344727
"152",0.6269,13089.546875
"153",0.631,13236.269531
"154",0.6351,13356.927734
"155",0.6392,13294.084961
"156",0.6433,13322.505859
"157",0.6474,13356.87793
"158",0.6514,13574.700195
"159",0.6555,13741.788086
"160",0.6596,13988.012695
"161",0.6637,14126.933594
"162",0.6678,14226.77832
"163",0.6719,14096.913086
"164",0.676,14083.927734
"165",0.6801,14170.342773
"166",0.6842,14351.646484
"167",0.6883,14494.584961
"168",0.6924,14485.082031
"169",0.6965,14514.433594
"170",0.7006,14622.69043
"171",0.7046,14725.59668
"172",0.7087,14840.912109
"173",0.7128,14869.136719
"174",0.7169,14947.928711
"175",0.721,15039.328125
"176",0.7251,15069.899414
"177",0.7292,15058.230469
"178",0.7333,14892.115234
"179",0.7374,14829.183594
"180",0.7415,14854.609375
"181",0.7456,14911.042969
"182",0.7497,14950.72168
"183",0.7537,15113.783203
"184",0.7578,15211.773438
"185",0.7619,15205.695313
"186",0.766,15024.023438
"187",0.7701,14926.859375
"188",0.7742,14948.205078
"189",0.7783,14968.5
"190",0.7824,14961.65332
"191",0.7865,14880.744141
"192",0.7906,14853.396484
"193",0.7947,14715.400391
"194",0.7988,14625.74707
"195",0.8029,14476.197266
"196",0.8069,14315.362305
"197",0.811,14115.835938
"198",0.8151,14177.43457
"199",0.8192,14214.168945
"200",0.8233,13756.12793
"201",0.8274,13478.938477
"202",0.8315,13409.521484
"203",0.8356,13313.304688
"204",0.8397,13191.076172
"205",0.8438,13068.227539
"206",0.8479,13143.240234
"207",0.852,13034.021484
"208",0.8561,12844.786133
"209",0.8601,12565.625977
"210",0.8642,12494.125977
"211",0.8683,12431.333008
"212",0.8724,12224.258789
"213",0.8765,12045.228516
"214",0.8806,11934.916992
"215",0.8847,11999.30957
"216",0.8888,12092.72168
"217",0.8929,12073.926758
"218",0.897,12000.385742
"219",0.9011,11492.28418
"220",0.9052,11340.666016
"221",0.9092,11261.27832
"222",0.9133,11170.411133
"223",0.9174,11033.553711
"224",0.9215,10920.555664
"225",0.9256,10805.260742
"226",0.9297,10749.541992
"227",0.9338,10633.936523
"228",0.9379,10553.670898
"229",0.942,10396.851563
"230",0.9461,10345.898438
"231",0.9502,10439.532227
"232",0.9543,10444.083984
"233",0.9584,10338.727539
"234",0.9624,10137.357422
"235",0.9665,10024.374023
"236",0.9706,9960.443359
"237",0.9747,9843.068359
"238",0.9788,9813.852539
"239",0.9829,9774.963867
"240",0.987,9722.901367
"241",0.9911,9668.754883
"242",0.9952,9489.758789
"243",0.9993,9437.469727
"244",1.0034,9337.84668
"245",1.0075,9232.355469
"246",1.0115,9143.000977
"247",1.0156,8946.202148
"248",1.0197,9061.576172
"249",1.0238,8927.707031
"250",1.0279,8833.817383
"251",1.032,8559.50293
"252",1.0361,8737.791016
"253",1.0402,8741.25293
"254",1.0443,8734.716797
"255",1.0484,8730.012695
"256",1.0525,8553.071289
"257",1.0566,8567.203125
"258",1.0607,8448.90625
"259",1.0647,8348.450195
"260",1.0688,8372.744141
"261",1.0729,8420.621094
"262",1.077,8534.404297
"263",1.0811,8515.739258
"264",1.0852,8391.37207
"265",1.0893,8376.128906
"266",1.0934,8364.005859
"267",1.0975,8370.607422
"268",1.1016,8053.081055
"269",1.1057,7885.546875
"270",1.1098,7949.569824
"271",1.1139,8098.683105
"272",1.1179,8009.884766
"273",1.122,7884.853027
"274",1.1261,7912.11084
"275",1.1302,7977.089844
"276",1.1343,8038.597168
"277",1.1384,7984.880859
"278",1.1425,7943.616211
"279",1.1466,8002.785156
"280",1.1507,7840.146973
"281",1.1548,7771.714844
"282",1.1589,7704.839844
"283",1.163,7606.397949
"284",1.167,7499.033203
"285",1.1711,7380.200195
"286",1.1752,7353.042969
"287",1.1793,7373.826172
"288",1.1834,7386.295898
"289",1.1875,7445.311035
"290",1.1916,7298.76123
"291",1.1957,7163.548828
"292",1.1998,6936.292969
"293",1.2039,6920.410156
"294",1.208,6888.470215
"295",1.2121,7020.129883
"296",1.2162,6991.48584
"297",1.2202,6970.27002
"298",1.2243,6894.088867
"299",1.2284,6915.407227
"300",1.2325,6934.170898
